wavelength_nm,relative_absorption
330,0.267337
331,0.237792
332,0.215490
333,0.199365
334,0.188350
335,0.181380
336,0.177387
337,0.174911
338,0.172526
339,0.169674
340,0.166269
341,0.163521
342,0.161689
343,0.160047
344,0.158440
345,0.156677
346,0.154534
347,0.152166
348,0.149539
349,0.146428
350,0.143593
351,0.140620
352,0.138080
353,0.136317
354,0.134502
355,0.132756
356,0.131892
357,0.130596
358,0.129334
359,0.128124
360,0.126949
361,0.125566
362,0.124495
363,0.123613
364,0.123337
365,0.123665
366,0.124114
367,0.125497
368,0.128176
369,0.130976
370,0.134778
371,0.139255
372,0.144198
373,0.149331
374,0.154724
375,0.160030
376,0.165250
377,0.170124
378,0.175309
379,0.180632
380,0.186681
381,0.193595
382,0.201061
383,0.209116
384,0.217723
385,0.226780
386,0.236113
387,0.245481
388,0.254797
389,0.264320
390,0.274085
391,0.284092
392,0.294307
393,0.304885
394,0.315722
395,0.326680
396,0.337810
397,0.349131
398,0.360625
399,0.372239
400,0.383889
401,0.395866
402,0.407861
403,0.419943
404,0.431955
405,0.444278
406,0.456688
407,0.469270
408,0.482769
409,0.497253
410,0.512722
411,0.529297
412,0.546459
413,0.564417
414,0.582358
415,0.600229
416,0.617409
417,0.633725
418,0.648658
419,0.662589
420,0.675655
421,0.687909
422,0.699126
423,0.709790
424,0.719504
425,0.728958
426,0.737928
427,0.746829
428,0.755696
429,0.764753
430,0.773844
431,0.783350
432,0.793392
433,0.804402
434,0.816483
435,0.829826
436,0.843757
437,0.858672
438,0.874487
439,0.890665
440,0.907240
441,0.923642
442,0.939248
443,0.953637
444,0.966318
445,0.977381
446,0.986708
447,0.993376
448,0.997524
449,0.999754
450,1.000000
451,0.998658
452,0.995641
453,0.991366
454,0.985312
455,0.977740
456,0.969029
457,0.959356
458,0.948842
459,0.937797
460,0.926822
461,0.916884
462,0.908277
463,0.901035
464,0.895245
465,0.891200
466,0.888452
467,0.886983
468,0.886447
469,0.886361
470,0.886707
471,0.887588
472,0.888124
473,0.888487
474,0.887968
475,0.885773
476,0.882455
477,0.877408
478,0.870270
479,0.860574
480,0.848164
481,0.833576
482,0.816898
483,0.798370
484,0.777560
485,0.754918
486,0.730410
487,0.704277
488,0.676658
489,0.647552
490,0.616942
491,0.584950
492,0.552370
493,0.519877
494,0.487764
495,0.456670
496,0.426787
497,0.398424
498,0.371220
499,0.345087
500,0.319576
501,0.295016
502,0.271147
503,0.248298
504,0.226624
505,0.206108
506,0.187321
507,0.170435
508,0.155415
509,0.141830
510,0.129420
511,0.118100
512,0.107799
513,0.098310
514,0.089478
515,0.081389
516,0.073611
517,0.066369
518,0.059975
519,0.054444
520,0.049691
521,0.045335
522,0.041878
523,0.039148
524,0.036711
525,0.034446
526,0.030454
527,0.029037
528,0.031636
529,0.032044
530,0.033102
531,0.034776
532,0.037968
533,0.038363
534,0.038496
535,0.037606
536,0.035504
537,0.033509
538,0.029420
539,0.027936
540,0.027092
541,0.022498
542,0.019640
543,0.017504
544,0.016061
545,0.012497
546,0.010565
547,0.009147
548,0.008676
549,0.009395
550,0.009092
551,0.008815
552,0.008561
553,0.008329
554,0.008113
555,0.000000
556,0.000000
557,0.000000
558,0.000000
559,0.000000
560,0.000000
561,0.000000
562,0.000000
563,0.000000
564,0.000000
565,0.000000
566,0.000000
567,0.000000
568,0.000000
569,0.000000
570,0.000000
571,0.000000
572,0.000000
573,0.000000
574,0.000000
575,0.000000
576,0.000000
577,0.000000
578,0.000000
579,0.000000
580,0.000000
581,0.000000
582,0.000000
583,0.000000
584,0.000000
585,0.000000
586,0.000000
587,0.000000
588,0.000000
589,0.000000
590,0.000000
591,0.000000
592,0.000000
593,0.000000
594,0.000000
595,0.000000
596,0.000000
597,0.000000
598,0.000000
599,0.000000
600,0.000000
601,0.000000
602,0.000000
603,0.000000
604,0.000000
605,0.000000
606,0.000000
607,0.000000
608,0.000000
609,0.000000
610,0.000000
611,0.000000
612,0.000000
613,0.000000
614,0.000000
615,0.000000
616,0.000000
617,0.000000
618,0.000000
619,0.000000
620,0.000000
621,0.000000
622,0.000000
623,0.000000
624,0.000000
625,0.000000
626,0.000000
627,0.000000
628,0.000000
629,0.000000
630,0.000000
631,0.000000
632,0.000000
633,0.000000
634,0.000000
635,0.000000
636,0.000000
637,0.000000
638,0.000000
639,0.000000
640,0.000000
641,0.000000
642,0.000000
643,0.000000
644,0.000000
645,0.000000
646,0.000000
647,0.000000
648,0.000000
649,0.000000
650,0.000000
651,0.000000
652,0.000000
653,0.000000
654,0.000000
655,0.000000
656,0.000000
657,0.000000
658,0.000000
659,0.000000
660,0.000000
661,0.000000
662,0.000000
663,0.000000
664,0.000000
665,0.000000
666,0.000000
667,0.000000
668,0.000000
669,0.000000
670,0.000000
671,0.000000
672,0.000000
673,0.000000
674,0.000000
675,0.000000
676,0.000000
677,0.000000
678,0.000000
679,0.000000
680,0.000000
681,0.000000
682,0.000000
683,0.000000
684,0.000000
685,0.000000
686,0.000000
687,0.000000
688,0.000000
689,0.000000
690,0.000000
691,0.000000
692,0.000000
693,0.000000
694,0.000000
695,0.000000
696,0.000000
697,0.000000
698,0.000000
699,0.000000
700,0.000000
