wavelength_nm,effective_intensity
400,0.001163951448
401,0.0017901060519999999
402,0.00228810021
403,0.0027342488730000003
404,0.0032141771549999997
405,0.003850113148
406,0.004802531008
407,0.0060441976000000005
408,0.0077180280030000005
409,0.009853565448
410,0.012557587224
411,0.01578892951
412,0.019640282919000003
413,0.024326372699999998
414,0.030117226328000003
415,0.037342046776999996
416,0.045858053474999994
417,0.0558159631
418,0.067050480144
419,0.079733309904
420,0.09486736724
421,0.112757915826
422,0.134632092072
423,0.16001079886
424,0.188041650896
425,0.21769601712
426,0.249514118784
427,0.285801002694
428,0.32683474152
429,0.374129403648
430,0.42507096151199997
431,0.48275197109999995
432,0.542646012144
433,0.603928129158
434,0.6644661126449999
435,0.724241429238
436,0.781163730712
437,0.829497760128
438,0.8699396676000001
439,0.890665
440,0.89533338224
441,0.8777739382799999
442,0.845584310944
443,0.800695558851
444,0.745442829468
445,0.6816098713040001
446,0.614281972356
447,0.55088162768
448,0.489768323616
449,0.435490842892
450,0.386146
451,0.346512355524
452,0.312991696042
453,0.282738574566
454,0.25362127942400003
455,0.22737441474000003
456,0.20485176157100002
457,0.186146722748
458,0.17004671903000002
459,0.154919375415
460,0.139951048822
461,0.12525277258800002
462,0.112013261025
463,0.100195092
464,0.089756368455
465,0.0812827872
466,0.075386929104
467,0.070709397777
468,0.06687622102099999
469,0.06308231236999999
470,0.059124736053000004
471,0.05567573247600001
472,0.052838049256
473,0.050417194815
474,0.04836761696
475,0.046953055184
476,0.045677635710000004
477,0.044615319391999995
478,0.04391643501
479,0.043279987608
480,0.042810229736
481,0.042738275096
482,0.04277686377
483,0.042964281550000004
484,0.04337385192
485,0.044010964481999995
486,0.04475587275
487,0.045472348782
488,0.04618393847399999
489,0.046595899264
490,0.046751247818
491,0.04676031804999999
492,0.04680010062
493,0.046745260332
494,0.046629750636
495,0.04619582386
496,0.04539306532
497,0.044537826839999996
498,0.04349102154
499,0.04217998401
500,0.040651984656000006
501,0.039081949584000006
502,0.037388459830000005
503,0.035645412582
504,0.033826351488
505,0.031995381488000005
506,0.030222744782
507,0.028558770339999998
508,0.026871719745
509,0.025171421080000003
510,0.0235466748
511,0.0219296347
512,0.02037940095
513,0.01891671189
514,0.0175287402
515,0.016211956299
516,0.014949657989999999
517,0.01375431156
518,0.012693708750000001
519,0.011789140428
520,0.010970928053
521,0.010150098485
522,0.009476028206
523,0.0089032339
524,0.008354615958
525,0.007842251928
526,0.00693879163
527,0.006647121003
528,0.0073067138319999995
529,0.0074709945120000005
530,0.007772117886
531,0.008204562576
532,0.0089822796
533,0.009051673124
534,0.009046829472000001
535,0.008824210294
536,0.008363038208
537,0.007953629222
538,0.0070416770000000005
539,0.00673020144
540,0.006560463260000001
541,0.0054827626
542,0.00479813056
543,0.0042870096639999996
544,0.003949929913
545,0.003083334822
546,0.002614636765
547,0.0022694164350000002
548,0.002153174976
549,0.0023282031350000004
550,0.0022515610639999998
551,0.00217927956
552,0.002115346051
553,0.002058720575
554,0.002003643271
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
