time,N_total
-42.25,697
-42.0,701
-41.75,707
-41.5,709
-41.25,711
-41.0,713
-40.75,715
-40.5,716
-40.25,717
-40.0,693
-39.75,693
-39.5,696
-39.25,689
-39.0,690
-38.75,690
-38.5,684
-38.25,681
-38.0,683
-37.75,709
-37.5,714
-37.25,714
-37.0,726
-36.75,727
-36.5,726
-36.25,753
-36.0,755
-35.75,750
-35.5,747
-35.25,748
-35.0,746
-34.75,730
-34.5,731
-34.25,731
-34.0,720
-33.75,725
-33.5,725
-33.25,749
-33.0,750
-32.75,750
-32.5,753
-32.25,755
-32.0,755
-31.75,766
-31.5,772
-31.25,771
-31.0,743
-30.75,746
-30.5,744
-30.25,748
-30.0,751
-29.75,741
-29.5,747
-29.25,747
-29.0,748
-28.75,773
-28.5,769
-28.25,770
-28.0,765
-27.75,768
-27.5,768
-27.25,770
-27.0,768
-26.75,767
-26.5,760
-26.25,752
-26.0,750
-25.75,755
-25.5,754
-25.25,754
-25.0,755
-24.75,754
-24.5,754
-24.25,771
-24.0,773
-23.75,771
-23.5,758
-23.25,758
-23.0,758
-22.75,768
-22.5,772
-22.25,769
-22.0,749
-21.75,750
-21.5,749
-21.25,745
-21.0,741
-20.75,742
-20.5,740
-20.25,741
-20.0,740
-19.75,735
-19.5,732
-19.25,732
-19.0,749
-18.75,746
-18.5,747
-18.25,737
-18.0,739
-17.75,738
-17.5,748
-17.25,743
-17.0,748
-16.75,751
-16.5,749
-16.25,749
-16.0,733
-15.75,737
-15.5,737
-15.25,720
-15.0,721
-14.75,720
-14.5,721
-14.25,721
-14.0,721
-13.75,723
-13.5,721
-13.25,723
-13.0,720
-12.75,717
-12.5,718
-12.25,736
-12.0,740
-11.75,739
-11.5,732
-11.25,735
-11.0,732
-10.75,735
-10.5,740
-10.25,740
-10.0,731
-9.75,731
-9.5,729
-9.25,747
-9.0,749
-8.75,750
-8.5,758
-8.25,758
-8.0,758
-7.75,733
-7.5,730
-7.25,726
-7.0,731
-6.75,732
-6.5,732
-6.25,734
-6.0,734
-5.75,732
-5.5,765
-5.25,766
-5.0,765
-4.75,747
-4.5,750
-4.25,750
-4.0,732
-3.75,734
-3.5,735
-3.25,758
-3.0,761
-2.75,759
-2.5,747
-2.25,753
-2.0,751
-1.75,750
-1.5,752
-1.25,753
-1.0,781
-0.75,784
-0.5,784
-0.25,759
0.0,763
0.25,760
0.5,761
0.75,758
1.0,755
1.25,757
1.5,749
1.75,750
2.0,756
2.25,761
2.5,759
2.75,757
3.0,759
3.25,759
3.5,758
3.75,762
4.0,762
4.25,744
4.5,747
4.75,747
5.0,760
5.25,761
5.5,762
5.75,765
6.0,769
6.25,765
6.5,750
6.75,748
7.0,748
7.25,751
7.5,752
7.75,754
8.0,753
8.25,753
8.5,754
8.75,754
9.0,757
9.25,755
9.5,754
9.75,751
10.0,753
10.25,743
10.5,747
10.75,747
11.0,764
11.25,762
11.5,762
11.75,772
12.0,774
12.25,773
12.5,776
12.75,783
13.0,785
13.25,766
13.5,766
13.75,769
14.0,752
14.25,752
14.5,752
14.75,745
15.0,745
15.25,742
15.5,751
15.75,755
16.0,756
16.25,758
16.5,759
16.75,762
17.0,758
17.25,756
17.5,756
17.75,734
18.0,735
18.25,735
18.5,742
18.75,746
19.0,745
19.25,761
19.5,761
19.75,761
20.0,754
20.25,749
20.5,751
20.75,747
21.0,751
21.25,752
21.5,752
21.75,754
22.0,754
22.25,762
22.5,758
22.75,758
23.0,760
23.25,760
23.5,760
23.75,748
24.0,747
24.25,747
24.5,743
24.75,735
25.0,735
25.25,748
25.5,748
25.75,749
26.0,745
26.25,744
26.5,741
26.75,743
27.0,737
27.25,737
27.5,735
27.75,736
28.0,736
28.25,746
28.5,738
28.75,739
29.0,738
29.25,733
29.5,731
29.75,725
30.0,724
30.25,723
30.5,726
30.75,726
31.0,726
31.25,718
31.5,718
31.75,718
32.0,703
32.25,704
32.5,705
32.75,707
33.0,706
33.25,706
33.5,700
33.75,701
34.0,700
34.25,708
34.5,706
34.75,706
35.0,701
35.25,699
35.5,701
35.75,704
36.0,704
36.25,702
36.5,690
36.75,690
37.0,690
37.25,694
37.5,694
37.75,694
38.0,680
38.25,674
38.5,674
38.75,685
39.0,682
39.25,685
39.5,672
39.75,677
40.0,678
40.25,663
40.5,664
40.75,664
41.0,669
41.25,669
41.5,670
41.75,679
42.0,680
42.25,679
42.5,673
42.75,678
43.0,680
43.25,677
43.5,678
43.75,654
44.0,650
44.25,650
44.5,647
44.75,642
45.0,643
45.25,644
45.5,643
45.75,643
46.0,650
46.25,648
46.5,648
46.75,649
47.0,645
47.25,646
47.5,630
47.75,630
48.0,630
48.25,633
48.5,632
48.75,633
49.0,622
49.25,625
49.5,625
49.75,624
50.0,626
50.25,626
50.5,617
50.75,615
51.0,616
51.25,601
51.5,590
51.75,594
52.0,608
52.25,606
52.5,606
52.75,602
53.0,602
53.25,603
53.5,596
53.75,600
54.0,601
54.25,605
54.5,605
54.75,606
55.0,597
55.25,603
55.5,605
55.75,586
56.0,583
56.25,584
56.5,599
56.75,595
57.0,597
57.25,611
57.5,619
57.75,612
58.0,589
58.25,588
58.5,587
58.75,572
59.0,571
59.25,572
59.5,580
59.75,579
60.0,580
60.25,582
60.5,575
60.75,577
61.0,582
61.25,582
61.5,582
61.75,574
62.0,574
62.25,573
62.5,572
62.75,574
63.0,574
63.25,577
63.5,578
63.75,577
64.0,564
64.25,563
64.5,563
64.75,547
65.0,543
65.25,543
65.5,563
65.75,561
66.0,558
66.25,559
66.5,559
66.75,555
67.0,551
67.25,552
67.5,553
67.75,554
68.0,558
68.25,555
68.5,542
68.75,546
69.0,542
69.25,555
69.5,552
69.75,551
70.0,558
70.25,553
70.5,552
70.75,550
71.0,555
71.25,555
71.5,545
71.75,542
72.0,540
72.25,540
72.5,544
72.75,543
73.0,536
73.25,541
73.5,539
73.75,531
74.0,528
74.25,529
74.5,521
74.75,523
75.0,522
75.25,529
75.5,527
75.75,529
76.0,531
76.25,529
76.5,531
76.75,541
77.0,539
77.25,540
77.5,540
77.75,541
78.0,540
78.25,528
78.5,524
78.75,524
79.0,542
79.25,542
79.5,543
79.75,524
80.0,523
80.25,525
80.5,535
80.75,532
81.0,531
81.25,512
81.5,514
81.75,513
82.0,509
82.25,512
82.5,511
82.75,508
83.0,510
83.25,510
83.5,513
83.75,512
84.0,513
84.25,485
84.5,489
84.75,489
85.0,494
85.25,491
85.5,490
85.75,494
86.0,490
86.25,490
86.5,503
86.75,500
87.0,499
87.25,515
87.5,507
87.75,505
88.0,507
88.25,510
88.5,510
88.75,505
89.0,494
89.25,494
89.5,503
89.75,502
90.0,501
90.25,507
90.5,510
90.75,510
91.0,506
91.25,505
91.5,505
91.75,517
92.0,514
92.25,515
92.5,512
92.75,513
93.0,512
93.25,502
93.5,498
93.75,497
94.0,485
94.25,483
94.5,481
94.75,473
95.0,475
95.25,470
95.5,506
95.75,508
96.0,507
96.25,491
96.5,493
96.75,492
97.0,499
97.25,492
97.5,494
97.75,495
98.0,494
98.25,494
98.5,483
98.75,485
99.0,481
99.25,484
99.5,478
99.75,475
100.0,484
100.25,479
100.5,479
100.75,484
101.0,486
101.25,485
101.5,492
101.75,494
102.0,494
102.25,493
102.5,491
102.75,492
103.0,485
103.25,485
103.5,485
103.75,470
104.0,473
104.25,471
104.5,483
104.75,480
105.0,481
105.25,491
105.5,493
105.75,493
106.0,490
106.25,489
106.5,490
106.75,493
107.0,492
107.25,489
107.5,495
107.75,499
108.0,497
108.25,482
108.5,488
108.75,487
109.0,483
